Name,batter,xRA_100
Aaron Judge,592450,7.8716954022988475
Yordan Alvarez,670541,9.411408199643494
Paul Goldschmidt,502671,4.372350230414748
Mike Trout,545361,4.332665330661321
Jose Altuve,514888,2.7180463576158944
Freddie Freeman,518692,8.462146892655365
Manny Machado,592518,3.7762422360248444
Nolan Arenado,571448,3.941290322580645
Albert Pujols,405395,3.1712250712250714
Austin Riley,663586,3.518903318903318
Juan Soto,665742,7.987650602409638
Mookie Betts,605141,5.801564945226918
Joc Pederson,592626,4.562817551963048
Rafael Devers,646240,3.882736156351792
William Contreras,661388,0.8082446808510634
Eloy Jimenez,650391,4.850764525993881
Shohei Ohtani,660271,4.588438438438438
Bryce Harper,547180,5.334037558685446
Nathaniel Lowe,663993,1.3815503875968995
Michael Harris II,671739,-0.6800453514739256
Julio Rodriguez,677594,1.1189285714285706
Yandy Diaz,650490,6.1053763440860225
Pete Alonso,624413,3.33795620437956
Jeff McNeil,643446,2.106791171477081
Andres Gimenez,665926,-1.105924596050271
Xander Bogaerts,593428,0.5248811410459581
Jose Ramirez,608070,3.203795620437954
Carlos Correa,621043,3.3369491525423705
Taylor Ward,621493,4.3446808510638295
Jose Abreu,547989,4.202650957290133
Alex Bregman,608324,6.678201219512194
Willson Contreras,575929,1.9464065708418872
Byron Buxton,621439,1.1777486910994763
Starling Marte,516782,-0.7366336633663378
Kyle Schwarber,656941,3.561883408071749
J.T. Realmuto,592663,2.6877224199288245
Adley Rutschman,668939,3.6197872340425525
Brandon Nimmo,607043,1.9463595839524495
Anthony Rizzo,519203,3.175547445255475
George Springer,543807,1.940137221269296
Vladimir Guerrero Jr.,665489,3.395750708215297
Trea Turner,607208,1.7966101694915249
Brandon Drury,592273,1.0007042253521126
Luis Arraez,650333,4.975953565505804
Daniel Vogelbach,596129,3.641214750542298
Bryan Reynolds,668804,1.5314332247557
Brendan Donovan,680977,2.8961538461538456
Will Smith,669257,5.326124567474048
Teoscar Hernandez,606192,1.8624299065420544
Kyle Tucker,663656,6.0154351395730705
Bo Bichette,666182,1.5285509325681481
Alejandro Kirk,672386,6.033641404805914
Hunter Renfroe,592669,0.7191570881226049
Christian Walker,572233,3.950074962518739
Rhys Hoskins,656555,2.7171130952380946
Eugenio Suarez,553993,1.5705882352941174
Austin Slater,596103,0.09692307692307567
Matt Olson,621566,2.686123032904147
Josh Bell,605137,3.576352395672334
Mark Canha,592192,0.12047970479704642
