Name,batter,xRA_100
Shohei Ohtani,660271,5.524874791318866
Ronald Acuna Jr.,660670,9.01074829931973
Aaron Judge,592450,8.015720524017468
Corey Seager,608369,7.323694029850747
Mookie Betts,605141,9.203318903318907
Yordan Alvarez,670541,6.40342741935484
Matt Olson,621566,5.57763888888889
Freddie Freeman,518692,5.949178082191783
Yandy Diaz,650490,4.5568333333333335
Nolan Jones,666134,0.2226415094339612
Juan Soto,665742,7.060310734463278
Jose Altuve,514888,1.0419512195121956
Bryce Harper,547180,4.360989010989011
Marcell Ozuna,542303,3.8847972972972995
Mitch Garver,641598,2.649418604651164
Kyle Tucker,663656,6.659198813056379
Corbin Carroll,682998,1.4889922480620148
Matt McLain,680574,0.015384615384615672
Cody Bellinger,641355,0.8068345323741009
Will Benson,666181,0.9015197568389083
J.D. Martinez,502110,1.8937369519832987
Brandon Belt,474832,0.5240099009900984
Luis Arraez,650333,3.597730956239869
Ryan Jeffers,680777,0.019104477611940847
Wilmer Flores,527038,0.9451541850220245
Mike Trout,545361,4.051657458563537
Triston Casas,671213,4.25019920318725
Sean Murphy,669221,3.23310502283105
Edouard Julien,666397,2.1698529411764715
Austin Riley,663586,2.536923076923077
Isaac Paredes,670623,0.5078809106830114
Chas McCormick,676801,1.418818380743983
Ketel Marte,606466,2.1967692307692324
Jorge Soler,624585,3.2908620689655175
Rafael Devers,646240,4.113109756097561
J.P. Crawford,641487,2.729467084639498
Brandon Nimmo,607043,2.2906158357771265
Seiya Suzuki,673548,3.4207547169811345
Ozzie Albies,645277,3.5274242424242424
Brandon Marsh,669016,1.244067796610169
Luis Robert,673357,-1.6176470588235288
Willson Contreras,575929,1.4159595959595956
William Contreras,661388,2.062193126022915
Zack Gelof,680869,0.5136666666666668
Spencer Steer,668715,1.204962406015037
Marcus Semien,543760,3.6459495351925644
Adolis Garcia,666969,2.1462025316455677
Josh Lowe,666139,-0.8021956087824342
Jarren Duran,680776,0.9281767955801119
Josh Naylor,647304,2.5909090909090913
Yainer Diaz,673237,1.46923076923077
Christian Yelich,592885,2.9583860759493685
T.J. Friedl,670770,-1.701438848920863
Luke Raley,670042,-2.7135467980295567
Adley Rutschman,668939,4.667540029112082
Alex Bregman,608324,5.195856353591159
Christian Walker,572233,1.6269288956127088
Paul Goldschmidt,502671,2.8477438136826794
Kyle Schwarber,656941,2.4002777777777786
Charlie Blackmon,453568,1.1728813559322036
Harold Ramirez,623912,-1.5354838709677423
Bo Bichette,666182,2.531946755407653
Jake Burger,669394,-0.3679629629629625
Wander Franco,677551,4.352545824847251
Max Kepler,596146,3.008757637474542
Brent Rooker,667670,0.6465779467680621
Jason Heyward,518792,1.0458885941644556
Julio Rodriguez,677594,1.0056022408963579
Adam Duvall,594807,-1.859490084985835
Christopher Morel,666624,-0.6477855477855478
Kerry Carpenter,681481,0.6143790849673205
LaMonte Wade Jr.,664774,4.554527938342969
Randy Arozarena,668227,1.8460244648318043
Jeimer Candelario,600869,0.5173611111111105
Jose Ramirez,608070,5.062952243125904
Gunnar Henderson,683002,1.979260450160771
Pete Alonso,624413,1.0966565349544055
Justin Turner,457759,3.0033546325878584
Francisco Lindor,596019,2.585152838427948
Gleyber Torres,650402,4.513839285714286
Andrew McCutchen,457705,4.031501057082452
Ian Happ,664023,2.781331403762663
Will Smith,669257,3.5205776173285193
Michael Harris II,671739,1.307235621521335
Brendan Donovan,680977,3.23989218328841
Nolan Gorman,669357,1.979310344827587
James Outman,681546,-1.3029982363315695
Riley Greene,682985,2.013942307692306
Max Muncy,571970,3.249568221070813
Lars Nootbaar,663457,2.7155069582504967
Bobby Witt Jr.,677951,3.0864553314121044
