Name,batter,xRA_100
Francisco Lindor,596019,4.036068702290078
Eric Haase,606992,-0.304986876640419
Eddie Rosario,592696,2.8873786407767
Kyle Farmer,571657,-0.987712665406428
Amed Rosario,642708,-1.405612244897958
Joc Pederson,592626,2.6561330561330556
DJ LeMahieu,518934,3.6640648011782053
Seth Brown,664913,0.7957654723127026
Gary Sanchez,596142,0.3481818181818186
Adolis Garcia,666969,-1.1099678456591637
David Peralta,444482,0.9050185873605971
J.P. Crawford,641487,0.28398835516739507
Alex Dickerson,543105,-0.25961538461538447
Jazz Chisholm Jr.,665862,-2.081854043392506
Odubel Herrera,546318,0.7211382113821145
Leury Garcia,544725,-1.9139240506329116
Jacob Stallings,607732,1.6370023419203732
Matt Chapman,656305,-0.7409967845659167
Miguel Rojas,500743,0.2740259740259757
Jed Lowrie,476704,4.5716796875000005
Luis Torrens,620443,-0.7523809523809529
Myles Straw,664702,0.1534482758620708
Aledmys Diaz,649557,0.7037617554858944
Kevin Kiermaier,595281,-2.471794871794871
D.J. Stewart,621466,-1.1047169811320754
Sean Murphy,669221,0.16026785714285713
Gio Urshela,570482,-0.9918552036199079
Max Kepler,596146,3.950204081632654
Starlin Castro,516770,1.264161849710984
Yan Gomes,543228,0.45813333333333195
Kyle Seager,572122,1.4353731343283602
Gleyber Torres,650402,2.4191860465116273
Anthony Santander,623993,0.40867579908676005
Andrew Vaughn,683734,3.1712153518123656
Whit Merrifield,593160,1.2334722222222232
Eugenio Suarez,553993,0.7144599303135871
Rowdy Tellez,642133,2.5818461538461555
Freddy Galvis,520471,-1.3878172588832485
Brett Gardner,458731,-0.16182212581344796
Justin Upton,457708,-0.8961325966850823
Miguel Cabrera,408234,2.184030418250952
Raimel Tapia,606132,-2.6041275797373364
Jose Iglesias,578428,-1.710176125244618
Christian Walker,572233,0.3546067415730352
Yonathan Daza,602074,-2.510271903323263
Gavin Lux,666158,1.2640419947506563
Abraham Toro,647351,1.2906666666666673
Harold Ramirez,623912,-0.5141274238227138
Cesar Hernandez,514917,0.5629513343799059
Ke'Bryan Hayes,663647,0.049747474747475214
Manuel Margot,622534,0.7125000000000006
Tommy Edman,669242,0.5235890014471768
Jeff McNeil,643446,0.0028169014084512283
Trevor Larnach,663616,-2.504651162790696
Tucker Barnhart,571466,-1.7422680412371123
Randal Grichuk,545341,-0.3159633027522943
Bradley Zimmer,605548,-2.5356321839080467
Pedro Severino,600474,-1.673747016706443
Nick Solak,669256,-1.978082191780821
Phil Gosselin,594838,-1.9747989276139404
Asdrubal Cabrera,452678,-1.1389204545454552
Kevin Pillar,607680,-3.479538904899134
Carlos Santana,467793,4.322913505311078
Paul DeJong,657557,0.3363184079601982
Jurickson Profar,595777,0.47111650485437
Hunter Dozier,641531,-0.4351749539594836
Isiah Kiner-Falefa,643396,-1.451255539143278
Guillermo Heredia,628338,-0.4714697406340053
Harold Castro,605612,1.2477876106194685
Tom Murphy,608596,-2.4775384615384617
Dominic Smith,642086,1.5369168356997964
Yadier Molina,425877,-1.0016913319238896
Rougned Odor,596059,-1.9745152354570614
Christian Vazquez,543877,-1.416666666666666
Garrett Hampson,641658,-0.6668016194331987
Josh VanMeter,642165,-0.45677419354838866
Niko Goodrum,592348,-0.8898461538461543
Michael A. Taylor,572191,-1.1659090909090901
Alec Bohm,664761,0.5103117505995194
James McCann,543510,-1.3167475728155331
Billy McKinney,641856,-0.42633333333333423
Gregory Polanco,570256,1.891099476439791
Didi Gregorius,544369,-3.0365196078431365
Jason Heyward,518792,-0.37733711048158536
Juan Lagares,501571,-0.5302752293577984
Ronald Torreyes,591720,-4.5470930232558135
Victor Robles,645302,-1.6550135501355014
Jorge Alfaro,595751,-3.1636655948553054
Victor Caratini,605170,1.1553370786516852
David Fletcher,664058,-3.430075187969924
Dylan Moore,664238,-2.3758620689655174
Willi Castro,650489,-4.5377777777777775
Jarred Kelenic,672284,-0.6013262599469499
Elvis Andrus,462101,0.6149722735674685
Nick Ahmed,605113,-4.036363636363636
David Bote,623520,-0.06574923547400581
Maikel Franco,596748,-2.6330024813895774
Jose Trevino,624431,-0.11125827814569575
Marwin Gonzalez,503556,-3.4631921824104226
Martin Maldonado,455117,-1.9187793427230033
Jake Bauers,641343,0.7926984126984126
Andrelton Simmons,592743,-3.494900221729489
Kevin Newman,621028,-0.2433212996389882
Cody Bellinger,641355,-0.386
Austin Hedges,595978,-5.180769230769229
Jackie Bradley Jr.,598265,-4.291822429906542
